,Tipo,Valor
0,Pretest,51.670877627878156
1,Pretest,28.126042808790576
2,Pretest,0
3,Pretest,51.670877627878156
4,Pretest,0
5,Pretest,100
6,Pretest,51.670877627878156
7,Pretest,51.670877627878156
8,Pretest,100
9,Pretest,0
10,Pretest,51.670877627878156
11,Pretest,100
12,Pretest,79.79692043666874
13,Pretest,100
14,Pretest,0
15,Pretest,51.670877627878156
16,Pretest,0
17,Pretest,79.79692043666874
18,Pretest,79.79692043666874
19,Pretest,20.203079563331265
20,Pretest,71.87395719120941
21,Pretest,79.79692043666874
22,Pretest,100
23,Pretest,100
24,Pretest,20.203079563331265
25,Pretest,71.87395719120941
26,Pretest,71.87395719120941
27,Pretest,71.87395719120941
28,Pretest,100
29,Pretest,0
30,Pretest,28.126042808790576
31,Pretest,0
32,Pretest,51.670877627878156
33,Pretest,51.670877627878156
34,Pretest,20.203079563331265
35,Pretest,51.670877627878156
36,Pretest,0
37,Pretest,28.126042808790576
38,Pretest,20.203079563331265
39,Pretest,28.126042808790576
40,Pretest,20.203079563331265
41,Pretest,71.87395719120941
42,Pretest,51.670877627878156
43,Pretest,79.79692043666874
44,Pretest,0
45,Pretest,0
46,Pretest,28.126042808790576
47,Pretest,71.87395719120941
48,Pretest,28.126042808790576
49,Pretest,100
50,Pretest,51.670877627878156
51,Pretest,20.203079563331265
52,Pretest,48.329122372121844
53,Pretest,20.203079563331265
54,Pretest,71.87395719120941
55,Pretest,0
56,Pretest,20.203079563331265
57,Pretest,51.670877627878156
58,Pretest,79.79692043666874
59,Pretest,51.670877627878156
60,Pretest,100
61,Pretest,51.670877627878156
62,Pretest,0
63,Pretest,100
64,Pretest,51.670877627878156
65,Pretest,0
66,Pretest,79.79692043666874
67,Pretest,51.670877627878156
68,Pretest,48.329122372121844
69,Pretest,79.79692043666874
70,Pretest,0
71,Pretest,0
72,Pretest,0
73,Pretest,100
74,Pretest,0
75,Pretest,0
76,Pretest,0
77,Pretest,71.87395719120941
78,Pretest,51.670877627878156
79,Pretest,51.670877627878156
80,Pretest,71.87395719120941
81,Pretest,51.670877627878156
82,Pretest,28.126042808790576
83,Pretest,71.87395719120941
84,Pretest,0
85,Pretest,48.329122372121844
86,Pretest,71.87395719120941
87,Pretest,71.87395719120941
88,Pretest,51.670877627878156
89,Pretest,71.87395719120941
90,Pretest,0
91,Pretest,20.203079563331265
92,Pretest,48.329122372121844
93,Pretest,0
94,Pretest,79.79692043666874
95,Pretest,51.670877627878156
96,Pretest,28.126042808790576
97,Pretest,0
98,Pretest,100
99,Pretest,0
100,Pretest,71.87395719120941
101,Pretest,28.126042808790576
102,Pretest,51.670877627878156
103,Pretest,51.670877627878156
104,Pretest,51.670877627878156
105,Pretest,100
106,Pretest,0
107,Pretest,0
108,Pretest,100
109,Pretest,79.79692043666874
110,Pretest,0
111,Pretest,0
112,Pretest,28.126042808790576
113,Pretest,71.87395719120941
114,Pretest,0
115,Pretest,0
116,Pretest,79.79692043666874
117,Pretest,0
118,Pretest,51.670877627878156
119,Pretest,51.670877627878156
120,Pretest,20.203079563331265
121,Pretest,0
122,Pretest,51.670877627878156
123,Pretest,51.670877627878156
124,Pretest,0
125,Pretest,0
126,Pretest,0
127,Pretest,0
128,Pretest,79.79692043666874
129,Pretest,100
130,Pretest,28.126042808790576
131,Pretest,100
132,Pretest,51.670877627878156
133,Pretest,100
134,Pretest,51.670877627878156
135,Pretest,71.87395719120941
136,Pretest,20.203079563331265
137,Pretest,28.126042808790576
138,Pretest,100
139,Pretest,100
140,Pretest,0
141,Pretest,51.670877627878156
142,Pretest,79.79692043666874
143,Pretest,28.126042808790576
144,Pretest,48.329122372121844
145,Pretest,20.203079563331265
146,Pretest,0
147,Pretest,100
148,Pretest,79.79692043666874
149,Pretest,71.87395719120941
150,Pretest,71.87395719120941
151,Pretest,100
152,Pretest,51.670877627878156
153,Pretest,20.203079563331265
154,Pretest,100
155,Pretest,20.203079563331265
156,Pretest,51.670877627878156
157,Pretest,51.670877627878156
158,Pretest,20.203079563331265
159,Pretest,100
160,Pretest,48.329122372121844
161,Pretest,71.87395719120941
162,Pretest,0
163,Pretest,20.203079563331265
164,Pretest,28.126042808790576
165,Pretest,0
166,Pretest,0
167,Pretest,20.203079563331265
168,Pretest,28.126042808790576
169,Pretest,20.203079563331265
170,Pretest,28.126042808790576
171,Pretest,48.329122372121844
172,Pretest,71.87395719120941
173,Pretest,0
174,Pretest,71.87395719120941
175,Pretest,20.203079563331265
176,Pretest,71.87395719120941
177,Pretest,20.203079563331265
178,Pretest,51.670877627878156
179,Pretest,28.126042808790576
180,Pretest,51.670877627878156
181,Pretest,79.79692043666874
182,Pretest,48.329122372121844
183,Pretest,79.79692043666874
184,Pretest,51.670877627878156
185,Pretest,79.79692043666874
186,Pretest,79.79692043666874
187,Pretest,51.670877627878156
188,Pretest,0
189,Pretest,0
190,Pretest,0
191,Pretest,51.670877627878156
192,Pretest,0
193,Pretest,0
194,Pretest,0
195,Pretest,0
196,Pretest,0
197,Pretest,48.329122372121844
198,Pretest,71.87395719120941
199,Pretest,28.126042808790576
200,Pretest,51.670877627878156
201,Pretest,28.126042808790576
202,Pretest,71.87395719120941
203,Pretest,28.126042808790576
204,Pretest,100
205,Pretest,0
206,Pretest,28.126042808790576
207,Pretest,100
208,Pretest,20.203079563331265
209,Pretest,20.203079563331265
210,Pretest,79.79692043666874
211,Pretest,100
212,Pretest,100
213,Pretest,79.79692043666874
214,Pretest,100
215,Pretest,79.79692043666874
216,Pretest,28.126042808790576
217,Pretest,0
218,Pretest,51.670877627878156
219,Pretest,20.203079563331265
220,Pretest,51.670877627878156
221,Pretest,100
222,Pretest,100
223,Pretest,71.87395719120941
224,Pretest,79.79692043666874
225,Pretest,71.87395719120941
226,Pretest,71.87395719120941
227,Pretest,28.126042808790576
228,Pretest,79.79692043666874
229,Pretest,48.329122372121844
230,Pretest,51.670877627878156
231,Pretest,28.126042808790576
232,Pretest,20.203079563331265
233,Pretest,51.670877627878156
234,Pretest,0
235,Pretest,0
236,Pretest,79.79692043666874
237,Pretest,20.203079563331265
238,Pretest,20.203079563331265
239,Pretest,48.329122372121844
240,Pretest,0
241,Pretest,51.670877627878156
242,Pretest,0
243,Pretest,48.329122372121844
244,Pretest,28.126042808790576
245,Pretest,79.79692043666874
246,Pretest,79.79692043666874
247,Pretest,71.87395719120941
248,Pretest,28.126042808790576
249,Pretest,20.203079563331265
250,Pretest,28.126042808790576
251,Pretest,0
252,Pretest,51.670877627878156
253,Pretest,71.87395719120941
254,Pretest,0
255,Pretest,0
256,Pretest,28.126042808790576
257,Pretest,71.87395719120941
258,Pretest,28.126042808790576
259,Pretest,0
260,Pretest,0
261,Pretest,51.670877627878156
262,Pretest,0
263,Pretest,71.87395719120941
264,Pretest,28.126042808790576
265,Pretest,48.329122372121844
266,Pretest,100
267,Pretest,71.87395719120941
268,Pretest,0
269,Pretest,0
270,Pretest,51.670877627878156
271,Pretest,28.126042808790576
272,Pretest,20.203079563331265
273,Pretest,71.87395719120941
274,Pretest,51.670877627878156
275,Pretest,0
276,Pretest,48.329122372121844
277,Pretest,100
278,Pretest,51.670877627878156
279,Pretest,51.670877627878156
280,Pretest,51.670877627878156
281,Pretest,28.126042808790576
282,Pretest,0
283,Pretest,0
284,Pretest,51.670877627878156
285,Pretest,0
286,Pretest,20.203079563331265
287,Pretest,20.203079563331265
288,Pretest,20.203079563331265
289,Pretest,48.329122372121844
290,Pretest,71.87395719120941
291,Pretest,79.79692043666874
292,Pretest,48.329122372121844
293,Pretest,100
294,Pretest,71.87395719120941
295,Pretest,51.670877627878156
296,Pretest,28.126042808790576
297,Pretest,20.203079563331265
298,Pretest,79.79692043666874
299,Pretest,28.126042808790576
300,Pretest,28.126042808790576
301,Pretest,51.670877627878156
302,Pretest,20.203079563331265
303,Pretest,0
304,Pretest,79.79692043666874
305,Pretest,0
306,Pretest,51.670877627878156
307,Pretest,51.670877627878156
308,Pretest,28.126042808790576
309,Pretest,28.126042808790576
310,Pretest,28.126042808790576
311,Pretest,51.670877627878156
312,Pretest,20.203079563331265
313,Pretest,51.670877627878156
314,Pretest,51.670877627878156
315,Pretest,71.87395719120941
316,Pretest,28.126042808790576
317,Pretest,51.670877627878156
318,Pretest,20.203079563331265
319,Pretest,0
320,Pretest,51.670877627878156
321,Pretest,79.79692043666874
322,Pretest,0
323,Pretest,100
324,Pretest,51.670877627878156
325,Pretest,71.87395719120941
326,Pretest,51.670877627878156
327,Pretest,100
328,Pretest,0
329,Pretest,28.126042808790576
330,Pretest,28.126042808790576
331,Pretest,0
332,Pretest,0
333,Pretest,51.670877627878156
334,Pretest,0
335,Pretest,51.670877627878156
336,Pretest,51.670877627878156
337,Pretest,51.670877627878156
338,Pretest,79.79692043666874
339,Pretest,28.126042808790576
340,Pretest,100
341,Pretest,100
342,Pretest,100
343,Pretest,20.203079563331265
344,Pretest,0
345,Pretest,51.670877627878156
346,Pretest,48.329122372121844
347,Pretest,0
348,Pretest,100
349,Pretest,0
350,Pretest,28.126042808790576
351,Pretest,79.79692043666874
352,Pretest,51.670877627878156
353,Pretest,51.670877627878156
354,Pretest,0
355,Pretest,0
356,Pretest,71.87395719120941
357,Pretest,51.670877627878156
358,Pretest,0
359,Pretest,51.670877627878156
360,Pretest,51.670877627878156
361,Pretest,51.670877627878156
362,Pretest,71.87395719120941
363,Pretest,51.670877627878156
364,Pretest,71.87395719120941
365,Pretest,51.670877627878156
366,Pretest,51.670877627878156
367,Pretest,51.670877627878156
368,Pretest,79.79692043666874
369,Pretest,79.79692043666874
370,Pretest,51.670877627878156
371,Pretest,51.670877627878156
372,Pretest,0
373,Pretest,51.670877627878156
374,Pretest,28.126042808790576
375,Pretest,0
376,Pretest,51.670877627878156
377,Pretest,0
378,Pretest,79.79692043666874
379,Pretest,51.670877627878156
380,Pretest,51.670877627878156
381,Pretest,100
382,Pretest,79.79692043666874
383,Pretest,28.126042808790576
384,Pretest,71.87395719120941
385,Pretest,0
386,Pretest,0
387,Pretest,0
388,Pretest,51.670877627878156
389,Pretest,51.670877627878156
390,Pretest,79.79692043666874
391,Pretest,100
392,Pretest,71.87395719120941
393,Pretest,0
394,Pretest,79.79692043666874
395,Pretest,51.670877627878156
396,Pretest,51.670877627878156
397,Pretest,20.203079563331265
398,Pretest,51.670877627878156
399,Pretest,0
400,Pretest,79.79692043666874
401,Pretest,28.126042808790576
402,Pretest,79.79692043666874
403,Pretest,79.79692043666874
404,Pretest,51.670877627878156
405,Pretest,100
406,Pretest,79.79692043666874
407,Pretest,79.79692043666874
408,Pretest,51.670877627878156
409,Pretest,51.670877627878156
410,Pretest,79.79692043666874
411,Pretest,51.670877627878156
412,Pretest,51.670877627878156
413,Pretest,20.203079563331265
414,Pretest,100
415,Pretest,71.87395719120941
416,Pretest,79.79692043666874
417,Pretest,51.670877627878156
418,Pretest,79.79692043666874
419,Pretest,51.670877627878156
420,Pretest,51.670877627878156
421,Pretest,100
422,Pretest,79.79692043666874
423,Pretest,51.670877627878156
424,Pretest,51.670877627878156
425,Pretest,51.670877627878156
426,Pretest,51.670877627878156
427,Pretest,51.670877627878156
428,Pretest,79.79692043666874
429,Pretest,79.79692043666874
430,Pretest,79.79692043666874
431,Pretest,51.670877627878156
432,Pretest,28.126042808790576
433,Pretest,71.87395719120941
434,Pretest,51.670877627878156
435,Pretest,100
436,Pretest,51.670877627878156
437,Pretest,20.203079563331265
438,Pretest,0
439,Pretest,79.79692043666874
440,Pretest,0
441,Pretest,0
442,Pretest,51.670877627878156
443,Pretest,79.79692043666874
444,Pretest,0
445,Pretest,0
446,Pretest,20.203079563331265
447,Pretest,28.126042808790576
448,Pretest,71.87395719120941
449,Pretest,71.87395719120941
450,Pretest,20.203079563331265
451,Pretest,48.329122372121844
452,Pretest,100
453,Pretest,79.79692043666874
454,Pretest,0
455,Pretest,79.79692043666874
456,Pretest,51.670877627878156
457,Pretest,79.79692043666874
458,Pretest,71.87395719120941
459,Pretest,51.670877627878156
460,Pretest,0
461,Pretest,48.329122372121844
462,Pretest,71.87395719120941
463,Pretest,51.670877627878156
464,Pretest,48.329122372121844
465,Pretest,0
466,Pretest,51.670877627878156
467,Pretest,79.79692043666874
468,Pretest,28.126042808790576
469,Pretest,51.670877627878156
470,Pretest,51.670877627878156
471,Pretest,0
472,Pretest,79.79692043666874
473,Pretest,79.79692043666874
474,Pretest,51.670877627878156
475,Pretest,20.203079563331265
476,Pretest,20.203079563331265
477,Pretest,28.126042808790576
478,Pretest,0
479,Pretest,51.670877627878156
480,Pretest,51.670877627878156
481,Pretest,0
482,Pretest,79.79692043666874
483,Pretest,51.670877627878156
484,Pretest,20.203079563331265
485,Pretest,0
486,Pretest,0
487,Pretest,20.203079563331265
488,Pretest,71.87395719120941
489,Pretest,28.126042808790576
490,Pretest,51.670877627878156
491,Pretest,79.79692043666874
492,Pretest,28.126042808790576
493,Pretest,100
494,Pretest,51.670877627878156
495,Pretest,28.126042808790576
496,Pretest,20.203079563331265
497,Pretest,0
498,Pretest,51.670877627878156
499,Pretest,28.126042808790576
500,Pretest,51.670877627878156
501,Pretest,20.203079563331265
502,Pretest,71.87395719120941
503,Pretest,0
504,Pretest,100
505,Pretest,0
506,Pretest,0
507,Pretest,79.79692043666874
508,Pretest,51.670877627878156
509,Pretest,28.126042808790576
510,Pretest,0
511,Pretest,28.126042808790576
512,Pretest,20.203079563331265
513,Pretest,20.203079563331265
514,Pretest,0
515,Pretest,20.203079563331265
516,Pretest,79.79692043666874
517,Pretest,28.126042808790576
518,Pretest,0
519,Pretest,51.670877627878156
520,Pretest,71.87395719120941
521,Pretest,28.126042808790576
522,Pretest,71.87395719120941
523,Pretest,0
524,Pretest,71.87395719120941
525,Pretest,79.79692043666874
526,Pretest,51.670877627878156
527,Pretest,0
528,Pretest,51.670877627878156
529,Pretest,20.203079563331265
530,Pretest,100
531,Pretest,79.79692043666874
532,Pretest,20.203079563331265
533,Pretest,71.87395719120941
534,Pretest,20.203079563331265
535,Pretest,79.79692043666874
536,Pretest,51.670877627878156
537,Pretest,28.126042808790576
538,Pretest,100
539,Pretest,0
540,Pretest,79.79692043666874
541,Pretest,51.670877627878156
542,Pretest,100
543,Pretest,0
544,Pretest,71.87395719120941
545,Pretest,79.79692043666874
546,Pretest,71.87395719120941
547,Pretest,0
548,Pretest,51.670877627878156
549,Pretest,20.203079563331265
550,Pretest,20.203079563331265
551,Pretest,0
552,Pretest,100
553,Pretest,20.203079563331265
554,Pretest,71.87395719120941
555,Pretest,0
556,Pretest,79.79692043666874
557,Pretest,100
558,Pretest,79.79692043666874
559,Pretest,79.79692043666874
560,Pretest,0
561,Pretest,28.126042808790576
562,Pretest,51.670877627878156
563,Pretest,100
564,Pretest,100
565,Pretest,0
566,Pretest,0
567,Pretest,20.203079563331265
568,Pretest,71.87395719120941
569,Pretest,0
570,Pretest,20.203079563331265
571,Pretest,51.670877627878156
572,Pretest,79.79692043666874
573,Pretest,28.126042808790576
574,Pretest,79.79692043666874
575,Pretest,51.670877627878156
576,Pretest,51.670877627878156
577,Pretest,0
578,Pretest,79.79692043666874
579,Pretest,0
580,Pretest,28.126042808790576
581,Pretest,71.87395719120941
582,Pretest,79.79692043666874
583,Pretest,51.670877627878156
584,Pretest,51.670877627878156
585,Pretest,51.670877627878156
586,Pretest,51.670877627878156
587,Pretest,51.670877627878156
588,Pretest,51.670877627878156
589,Pretest,20.203079563331265
590,Pretest,51.670877627878156
591,Pretest,51.670877627878156
592,Pretest,20.203079563331265
593,Pretest,79.79692043666874
594,Pretest,71.87395719120941
595,Pretest,0
596,Pretest,0
597,Pretest,79.79692043666874
598,Pretest,20.203079563331265
599,Pretest,20.203079563331265
600,Pretest,0
601,Pretest,0
602,Pretest,71.87395719120941
603,Pretest,0
604,Pretest,79.79692043666874
605,Pretest,100
606,Pretest,0
607,Pretest,100
608,Pretest,0
609,Pretest,51.670877627878156
610,Pretest,71.87395719120941
611,Pretest,100
612,Pretest,28.126042808790576
613,Pretest,51.670877627878156
614,Pretest,0
615,Pretest,0
616,Pretest,28.126042808790576
617,Pretest,0
618,Pretest,0
619,Pretest,51.670877627878156
620,Pretest,28.126042808790576
621,Pretest,71.87395719120941
622,Pretest,0
623,Pretest,51.670877627878156
624,Pretest,51.670877627878156
625,Pretest,28.126042808790576
626,Pretest,100
627,Pretest,71.87395719120941
628,Pretest,51.670877627878156
629,Pretest,51.670877627878156
630,Pretest,100
631,Pretest,100
632,Pretest,79.79692043666874
633,Pretest,20.203079563331265
634,Pretest,0
635,Pretest,71.87395719120941
636,Pretest,51.670877627878156
637,Pretest,100
638,Pretest,48.329122372121844
639,Pretest,51.670877627878156
640,Pretest,0
641,Pretest,51.670877627878156
642,Pretest,20.203079563331265
643,Pretest,51.670877627878156
644,Pretest,20.203079563331265
645,Pretest,28.126042808790576
646,Pretest,28.126042808790576
647,Pretest,51.670877627878156
648,Pretest,51.670877627878156
649,Pretest,71.87395719120941
650,Pretest,79.79692043666874
651,Pretest,20.203079563331265
652,Pretest,0
653,Pretest,51.670877627878156
654,Pretest,51.670877627878156
655,Pretest,51.670877627878156
656,Pretest,51.670877627878156
657,Pretest,71.87395719120941
658,Pretest,51.670877627878156
659,Pretest,0
660,Pretest,51.670877627878156
661,Pretest,48.329122372121844
662,Pretest,20.203079563331265
663,Pretest,71.87395719120941
664,Pretest,0
665,Pretest,0
666,Pretest,71.87395719120941
667,Pretest,0
668,Pretest,0
669,Pretest,28.126042808790576
670,Pretest,20.203079563331265
671,Pretest,51.670877627878156
672,Pretest,79.79692043666874
673,Pretest,51.670877627878156
674,Pretest,100
675,Pretest,28.126042808790576
676,Pretest,71.87395719120941
677,Pretest,0
678,Pretest,51.670877627878156
679,Pretest,51.670877627878156
680,Pretest,0
681,Pretest,71.87395719120941
682,Pretest,51.670877627878156
683,Pretest,28.126042808790576
684,Pretest,0
685,Pretest,51.670877627878156
686,Pretest,51.670877627878156
687,Pretest,51.670877627878156
688,Pretest,20.203079563331265
689,Pretest,51.670877627878156
690,Pretest,0
691,Pretest,0
692,Pretest,71.87395719120941
693,Pretest,0
694,Pretest,28.126042808790576
695,Pretest,0
696,Pretest,79.79692043666874
697,Pretest,71.87395719120941
698,Pretest,20.203079563331265
699,Pretest,100
700,Pretest,0
701,Pretest,51.670877627878156
702,Pretest,100
703,Pretest,51.670877627878156
704,Pretest,28.126042808790576
705,Pretest,0
706,Pretest,51.670877627878156
707,Pretest,51.670877627878156
708,Pretest,28.126042808790576
709,Pretest,79.79692043666874
710,Pretest,51.670877627878156
711,Pretest,51.670877627878156
712,Pretest,20.203079563331265
713,Pretest,79.79692043666874
714,Pretest,51.670877627878156
715,Pretest,79.79692043666874
716,Pretest,20.203079563331265
717,Pretest,51.670877627878156
718,Pretest,0
719,Pretest,79.79692043666874
720,Pretest,51.670877627878156
721,Pretest,79.79692043666874
722,Pretest,0
723,Pretest,71.87395719120941
724,Pretest,51.670877627878156
725,Pretest,71.87395719120941
726,Pretest,51.670877627878156
727,Pretest,71.87395719120941
728,Pretest,100
729,Pretest,100
730,Pretest,100
731,Pretest,100
732,Pretest,100
733,Pretest,79.79692043666874
734,Pretest,79.79692043666874
735,Pretest,71.87395719120941
736,Pretest,71.87395719120941
737,Pretest,71.87395719120941
738,Pretest,51.670877627878156
739,Pretest,51.670877627878156
740,Pretest,51.670877627878156
741,Pretest,51.670877627878156
742,Pretest,51.670877627878156
743,Pretest,51.670877627878156
744,Pretest,28.126042808790576
745,Pretest,28.126042808790576
746,Pretest,28.126042808790576
747,Pretest,28.126042808790576
748,Pretest,20.203079563331265
749,Pretest,0
750,Pretest,0
751,Postest,100
752,Postest,28.126042808790576
753,Postest,51.670877627878156
754,Postest,71.87395719120941
755,Postest,28.126042808790576
756,Postest,28.126042808790576
757,Postest,51.670877627878156
758,Postest,100
759,Postest,100
760,Postest,51.670877627878156
761,Postest,0
762,Postest,79.79692043666874
763,Postest,0
764,Postest,28.126042808790576
765,Postest,79.79692043666874
766,Postest,20.203079563331265
767,Postest,28.126042808790576
768,Postest,71.87395719120941
769,Postest,100
770,Postest,51.670877627878156
771,Postest,51.670877627878156
772,Postest,100
773,Postest,48.329122372121844
774,Postest,71.87395719120941
775,Postest,0
776,Postest,0
